2026-06-24 17:16:49 | WARNING  | pdf_reader | PyPDF2 is deprecated — install pypdf for better compatibility: pip install pypdf
2026-06-24 23:58:05 | INFO     | clause_extractor | Extracting clauses | chunks=17 | doc_type=OFFER_LETTER
2026-06-24 23:58:05 | INFO     | clause_extractor | Extraction batch 1: 3 chunk(s)
2026-06-24 23:58:05 | INFO     | llm | Using GROQ_API_KEY_3 (fast/8b)
2026-06-24 23:58:07 | INFO     | clause_extractor | Extraction batch 2: 3 chunk(s)
2026-06-24 23:58:07 | INFO     | llm | Using GROQ_API_KEY_1 (fast/8b)
2026-06-24 23:58:08 | INFO     | clause_extractor | Extraction batch 3: 3 chunk(s)
2026-06-24 23:58:08 | INFO     | llm | Using GROQ_API_KEY_2 (fast/8b)
2026-06-24 23:58:09 | WARNING  | clause_extractor | Extraction batch 2: JSON parse error on attempt 1: Expecting ',' delimiter: line 41 column 117 (char 2873)
2026-06-24 23:58:09 | INFO     | clause_extractor | Extraction batch 4: 3 chunk(s)
2026-06-24 23:58:09 | INFO     | llm | Using GROQ_API_KEY_3 (fast/8b)
2026-06-24 23:58:10 | INFO     | clause_extractor | Extraction batch 5: 3 chunk(s)
2026-06-24 23:58:10 | INFO     | llm | Using GROQ_API_KEY_1 (fast/8b)
2026-06-24 23:58:11 | INFO     | clause_extractor | Extraction batch 6: 2 chunk(s)
2026-06-24 23:58:11 | INFO     | llm | Using GROQ_API_KEY_2 (fast/8b)
2026-06-24 23:58:33 | WARNING  | clause_extractor | Extraction batch 4: LLM call exceeded 24.0s on attempt 1
2026-06-24 23:58:34 | WARNING  | clause_extractor | Extraction batch 2: LLM call exceeded 24.0s on attempt 2
2026-06-24 23:58:34 | WARNING  | clause_extractor | Extraction batch 5: LLM call exceeded 24.0s on attempt 1
2026-06-24 23:58:35 | WARNING  | clause_extractor | Extraction batch 6: LLM call exceeded 24.0s on attempt 1
2026-06-24 23:58:54 | WARNING  | clause_extractor | Extraction batch 2: error on attempt 3: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kvj6epsmf46sgpy1pj8dd37h` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 3544, Requested 3152. Please try again in 6.96s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-06-24 23:58:54 | ERROR    | clause_extractor | Extraction batch 2: all 3 attempts failed for 3 chunk(s) — these section(s) were not analyzed
2026-06-24 23:58:54 | INFO     | clause_extractor | Extraction: 6 batch(es) resolved in 49.3s (deadline=65.0s, skipped=0)
2026-06-24 23:58:54 | INFO     | clause_extractor | Deduplication: 73 → 63 (removed 10 duplicate(s))
2026-06-24 23:58:54 | INFO     | clause_extractor | Extracted 63 verified clauses | skipped_batches=0/6
